Epoch 1, Batch 1, Embryo AAL839-6, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\AAL839-6\D2013.09.12_S0900_I132_WELL6_RUN1.jpeg
Epoch 1, Batch 1, Embryo CK601-2, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\CK601-2\D2016.06.27_S0433_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo CK601-2, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\CK601-2\D2016.06.27_S0433_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo HE444-4, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\HE444-4\D2017.04.26_S0684_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo HE444-4, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\HE444-4\D2017.04.26_S0684_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo HE444-4, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\HE444-4\D2017.04.26_S0684_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo HE444-4, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\HE444-4\D2017.04.26_S0684_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo HE444-4, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\HE444-4\D2017.04.26_S0684_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo HE444-4, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\HE444-4\D2017.04.26_S0684_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo HE444-4, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\HE444-4\D2017.04.26_S0684_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo GS349-4, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\GS349-4\D2015.04.17_S0100_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo GS349-4, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\GS349-4\D2015.04.17_S0100_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo GS349-4, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\GS349-4\D2015.04.17_S0100_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo GS349-4, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\GS349-4\D2015.04.17_S0100_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo GS349-4, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\GS349-4\D2015.04.17_S0100_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo GS349-4, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\GS349-4\D2015.04.17_S0100_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo GS349-4, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\GS349-4\D2015.04.17_S0100_I647_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo PC55-2, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\PC55-2\D2014.01.24_S0998_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo PC55-2, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\PC55-2\D2014.01.24_S0998_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo PC55-2, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\PC55-2\D2014.01.24_S0998_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo PC55-2, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\PC55-2\D2014.01.24_S0998_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo PC55-2, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\PC55-2\D2014.01.24_S0998_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo PC55-2, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\PC55-2\D2014.01.24_S0998_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo PC55-2, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\PC55-2\D2014.01.24_S0998_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 1, Embryo RM126-4, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\RM126-4\D2016.02.12_S1578_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo RM126-4, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\RM126-4\D2016.02.12_S1578_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo RM126-4, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\RM126-4\D2016.02.12_S1578_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo RM126-4, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\RM126-4\D2016.02.12_S1578_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo RM126-4, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\RM126-4\D2016.02.12_S1578_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo RM126-4, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\RM126-4\D2016.02.12_S1578_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo RM126-4, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\RM126-4\D2016.02.12_S1578_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 1, Embryo PA1217-8, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\PA1217-8\D2013.12.14_S0981_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 1, Embryo PA1217-8, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\PA1217-8\D2013.12.14_S0981_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 1, Embryo PA1217-8, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\PA1217-8\D2013.12.14_S0981_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 1, Embryo PA1217-8, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\PA1217-8\D2013.12.14_S0981_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 1, Embryo PA1217-8, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\PA1217-8\D2013.12.14_S0981_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 1, Embryo PA1217-8, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\PA1217-8\D2013.12.14_S0981_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 1, Embryo PA1217-8, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\PA1217-8\D2013.12.14_S0981_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 1, Embryo DC307-7, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\DC307-7\D2016.04.07_S0361_I647_WELL7_RUN1.jpeg
Epoch 1, Batch 1, Embryo DC307-7, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\DC307-7\D2016.04.07_S0361_I647_WELL7_RUN1.jpeg
Epoch 1, Batch 1, Embryo DC307-7, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\DC307-7\D2016.04.07_S0361_I647_WELL7_RUN1.jpeg
Epoch 1, Batch 1, Embryo DC307-7, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\DC307-7\D2016.04.07_S0361_I647_WELL7_RUN1.jpeg
Epoch 1, Batch 1, Embryo DC307-7, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\DC307-7\D2016.04.07_S0361_I647_WELL7_RUN1.jpeg
Epoch 1, Batch 1, Embryo DC307-7, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\DC307-7\D2016.04.07_S0361_I647_WELL7_RUN1.jpeg
Epoch 1, Batch 1, Embryo DC307-7, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\DC307-7\D2016.04.07_S0361_I647_WELL7_RUN1.jpeg
Epoch 1, Batch 2, Embryo BE735-2, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\BE735-2\D2011.09.19_S0219_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo BE735-2, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\BE735-2\D2011.09.19_S0219_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo BE735-2, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\BE735-2\D2011.09.19_S0219_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo BE735-2, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\BE735-2\D2011.09.19_S0219_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo BE735-2, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\BE735-2\D2011.09.19_S0219_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo BE735-2, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\BE735-2\D2011.09.19_S0219_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo BE735-2, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\BE735-2\D2011.09.19_S0219_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo BM201-1, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\BM201-1\D2014.03.04_S1036_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo BM201-1, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\BM201-1\D2014.03.04_S1036_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo BM201-1, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\BM201-1\D2014.03.04_S1036_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo BM201-1, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\BM201-1\D2014.03.04_S1036_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo BM201-1, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\BM201-1\D2014.03.04_S1036_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo BM201-1, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\BM201-1\D2014.03.04_S1036_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo BM201-1, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\BM201-1\D2014.03.04_S1036_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo TM312-2, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\TM312-2\D2015.04.07_S1361_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo TM312-2, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\TM312-2\D2015.04.07_S1361_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo TM312-2, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\TM312-2\D2015.04.07_S1361_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo TM312-2, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\TM312-2\D2015.04.07_S1361_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo TM312-2, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\TM312-2\D2015.04.07_S1361_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo TM312-2, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\TM312-2\D2015.04.07_S1361_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo TM312-2, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\TM312-2\D2015.04.07_S1361_I132_WELL2_RUN1.jpeg
Epoch 1, Batch 2, Embryo RM126-8, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\RM126-8\D2016.02.12_S1578_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo RM126-8, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\RM126-8\D2016.02.12_S1578_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo RM126-8, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\RM126-8\D2016.02.12_S1578_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo RM126-8, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\RM126-8\D2016.02.12_S1578_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo RM126-8, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\RM126-8\D2016.02.12_S1578_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo RM126-8, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\RM126-8\D2016.02.12_S1578_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo RM126-8, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\RM126-8\D2016.02.12_S1578_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo DHDPI042-8, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\DHDPI042-8\D2015.04.18_S1369_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo DHDPI042-8, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\DHDPI042-8\D2015.04.18_S1369_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo DHDPI042-8, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\DHDPI042-8\D2015.04.18_S1369_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo DHDPI042-8, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\DHDPI042-8\D2015.04.18_S1369_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo DHDPI042-8, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\DHDPI042-8\D2015.04.18_S1369_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo DHDPI042-8, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\DHDPI042-8\D2015.04.18_S1369_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo DHDPI042-8, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\DHDPI042-8\D2015.04.18_S1369_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo DT336-1, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\DT336-1\D2014.04.15_S1071_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo DT336-1, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\DT336-1\D2014.04.15_S1071_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo DT336-1, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\DT336-1\D2014.04.15_S1071_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo DT336-1, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\DT336-1\D2014.04.15_S1071_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo DT336-1, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\DT336-1\D2014.04.15_S1071_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo DT336-1, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\DT336-1\D2014.04.15_S1071_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo DT336-1, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\DT336-1\D2014.04.15_S1071_I132_WELL1_RUN1.jpeg
Epoch 1, Batch 2, Embryo LE679-8, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\LE679-8\D2011.09.05_S0202_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo LE679-8, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\LE679-8\D2011.09.05_S0202_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo LE679-8, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\LE679-8\D2011.09.05_S0202_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo LE679-8, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\LE679-8\D2011.09.05_S0202_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo LE679-8, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\LE679-8\D2011.09.05_S0202_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo LE679-8, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\LE679-8\D2011.09.05_S0202_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo LE679-8, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\LE679-8\D2011.09.05_S0202_I132_WELL8_RUN1.jpeg
Epoch 1, Batch 2, Embryo HM69-4, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\HM69-4\D2015.01.29_S1302_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 2, Embryo HM69-4, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\HM69-4\D2015.01.29_S1302_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 2, Embryo HM69-4, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\HM69-4\D2015.01.29_S1302_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 2, Embryo HM69-4, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\HM69-4\D2015.01.29_S1302_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 2, Embryo HM69-4, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\HM69-4\D2015.01.29_S1302_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 2, Embryo HM69-4, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\HM69-4\D2015.01.29_S1302_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 2, Embryo HM69-4, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\HM69-4\D2015.01.29_S1302_I132_WELL4_RUN1.jpeg
Epoch 1, Batch 3, Embryo RC755-7, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\RC755-7\D2013.07.08_S0875_I132_WELL7_RUN1.jpeg
Epoch 1, Batch 3, Embryo RC755-7, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\RC755-7\D2013.07.08_S0875_I132_WELL7_RUN1.jpeg
Epoch 1, Batch 3, Embryo RC755-7, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\RC755-7\D2013.07.08_S0875_I132_WELL7_RUN1.jpeg
Epoch 1, Batch 3, Embryo RC755-7, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\RC755-7\D2013.07.08_S0875_I132_WELL7_RUN1.jpeg
Epoch 1, Batch 3, Embryo RC755-7, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\RC755-7\D2013.07.08_S0875_I132_WELL7_RUN1.jpeg
Epoch 1, Batch 3, Embryo RC755-7, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\RC755-7\D2013.07.08_S0875_I132_WELL7_RUN1.jpeg
Epoch 1, Batch 3, Embryo RC755-7, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\RC755-7\D2013.07.08_S0875_I132_WELL7_RUN1.jpeg
Epoch 1, Batch 3, Embryo ME540-11, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\ME540-11\D2013.05.21_S0828_I132_WELL11_RUN1.jpeg
Epoch 1, Batch 3, Embryo ME540-11, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\ME540-11\D2013.05.21_S0828_I132_WELL11_RUN1.jpeg
Epoch 1, Batch 3, Embryo ME540-11, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\ME540-11\D2013.05.21_S0828_I132_WELL11_RUN1.jpeg
Epoch 1, Batch 3, Embryo ME540-11, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\ME540-11\D2013.05.21_S0828_I132_WELL11_RUN1.jpeg
Epoch 1, Batch 3, Embryo ME540-11, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\ME540-11\D2013.05.21_S0828_I132_WELL11_RUN1.jpeg
Epoch 1, Batch 3, Embryo ME540-11, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\ME540-11\D2013.05.21_S0828_I132_WELL11_RUN1.jpeg
Epoch 1, Batch 3, Embryo ME540-11, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\ME540-11\D2013.05.21_S0828_I132_WELL11_RUN1.jpeg
Epoch 1, Batch 3, Embryo CL783-2, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\CL783-2\D2015.09.21_S0206_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 3, Embryo CL783-2, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\CL783-2\D2015.09.21_S0206_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 3, Embryo CL783-2, Focal plane embryo_dataset_F30: C:\Projects\Embryo\Dataset\embryo_dataset_F30\CL783-2\D2015.09.21_S0206_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 3, Embryo CL783-2, Focal plane embryo_dataset_F-30: C:\Projects\Embryo\Dataset\embryo_dataset_F-30\CL783-2\D2015.09.21_S0206_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 3, Embryo CL783-2, Focal plane embryo_dataset_F45: C:\Projects\Embryo\Dataset\embryo_dataset_F45\CL783-2\D2015.09.21_S0206_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 3, Embryo CL783-2, Focal plane embryo_dataset_F-45: C:\Projects\Embryo\Dataset\embryo_dataset_F-45\CL783-2\D2015.09.21_S0206_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 3, Embryo CL783-2, Ground truth: C:\Projects\Embryo\Dataset\embryo_dataset\CL783-2\D2015.09.21_S0206_I647_WELL2_RUN1.jpeg
Epoch 1, Batch 3, Embryo DM1046-12, Focal plane embryo_dataset_F15: C:\Projects\Embryo\Dataset\embryo_dataset_F15\DM1046-12\D2016.12.01_S0549_I647_WELL12_RUN1.jpeg
Epoch 1, Batch 3, Embryo DM1046-12, Focal plane embryo_dataset_F-15: C:\Projects\Embryo\Dataset\embryo_dataset_F-15\DM1046-12\D2016.12.01_S0549_I647_WELL12_RUN1.jpeg
